# ----------------------------------------
# Acquisition overview
# Account: MONFRERE
# Property: MONFRERE
# ----------------------------------------
#  
# Start date: 20240101
# End date: 20241231
Nth week,Active users
0000,3101
0001,3629
0002,4806
0003,5709
0004,4041
0005,2126
0006,2353
0007,7402
0008,5962
0009,4992
0010,5677
0011,4741
0012,4025
0013,3046
0014,3350
0015,10817
0016,13410
0017,11315
0018,4387
0019,2557
0020,3381
0021,4044
0022,6461
0023,4101
0024,14319
0025,5984
0026,3966
0027,2378
0028,1207
0029,1825
0030,2336
0031,2866
0032,3960
0033,5589
0034,5958
0035,33358
0036,86220
0037,6495
0038,5888
0039,4527
0040,6778
0041,7220
0042,4958
0043,3886
0044,65417
0045,3770
0046,4502
0047,5206
0048,4794
0049,4823
0050,5021
0051,5523
0052,3238

# Start date: 20240101
# End date: 20241231
Nth week,New users
0000,2772
0001,3228
0002,4367
0003,5218
0004,3600
0005,1831
0006,2099
0007,7118
0008,5530
0009,3000
0010,2997
0011,2391
0012,1934
0013,1528
0014,1547
0015,5244
0016,6137
0017,5044
0018,1805
0019,1056
0020,1631
0021,1960
0022,3306
0023,1978
0024,8845
0025,2592
0026,1792
0027,1301
0028,912
0029,1472
0030,1972
0031,2411
0032,3365
0033,5048
0034,5179
0035,33676
0036,89405
0037,5555
0038,4821
0039,3618
0040,5830
0041,6162
0042,4255
0043,3410
0044,57240
0045,2991
0046,3667
0047,4125
0048,3885
0049,4062
0050,4290
0051,4628
0052,2631

#  
# Start date: 20240101
# End date: 20241231
First user primary channel group (Default Channel Group),New users
Email,178280
Organic Social,88223
Direct,27586
Cross-network,19494
Paid Social,17074
Organic Search,13943
Paid Search,4508
Referral,4153
SMS,877
Paid Shopping,867
Unassigned,410
Display,345
Organic Shopping,312
Paid Video,216
Paid Other,153
Organic Video,11
Mobile Push Notifications,9

#  
# Start date: 20240101
# End date: 20241231
Session primary channel group (Default Channel Group),Sessions
Email,201017
Organic Social,123978
Direct,43212
Paid Social,38746
Cross-network,34780
Organic Search,30143
Unassigned,14064
Paid Search,9529
Referral,5682
SMS,3766
Paid Shopping,993
Organic Shopping,824
Display,490
Paid Other,241
Paid Video,238
Organic Video,15
Mobile Push Notifications,14

#  
# Start date: 20240101
# End date: 20241231
Session Google Ads campaign,Sessions
MF_PMAX,31377
MF_Brand,8098
Gizeno - PMAX Holiday,2771
MF _Shopping,931
Gizeno - Brand - Holiday,732
MF_Display,581
Gizeno - PMAX Holiday – New Customers Only,569
Gizeno - PMAX Holiday - Max Conv.,243
Gizeno - Display,149
Gizeno - PMAX,37
Gizeno - DSA,30
21037243868+6250762492821875297,20
Gizeno - Brand - Black Friday,7
21037243868+7741109248086760695,3
20976330643+5988723525257467837,2
21037243868+8575124676260816523,2
20401319445+11606536218366148983,1
20401319445+12978701991786151125,1

#  
# Start date: 20240903
# End date: 20241231
Cohort,Average 120d value
0000,0.5776455175474934
0001,0.6030686292035692
0002,0.6062675256501603
0003,0.6071374438778468
0004,0.6159487213320518
0005,0.6159487213320518
0006,0.618350938380792
0007,0.6206347222765344
0008,0.6283122447867042
0009,0.6360911364280327
0010,0.638120117132418
0011,0.6424586064572786
0012,0.6492473654567897
0013,0.6504022854657374
0014,0.6508374517029684
0015,0.6513482179766529
0016,0.6513482179766529
0017,0.6550720479366366
0018,0.657973929445489
0019,0.6583036698784598
0020,0.6594116143031123
0021,0.6610606478653861
0022,0.6628252562779097
0023,0.6673434458538038
0024,0.6702199340353432
0025,0.6723815979817894
0026,0.6723815979817894
0027,0.6768598127438874
0028,0.6778539221547457
0029,0.6828412876281055
0030,0.6849806236733744
0031,0.6863194692504615
0032,0.6884110012178851
0033,0.6891486918749634
0034,0.6893127335978986
0035,0.6893127335978986
0036,0.6899708888741598
0037,0.6908096557443597
0038,0.6917831356658185
0039,0.6917831356658185
0040,0.6976995738063475
0041,0.7031779045575426
0042,0.7035076449905133
0043,0.7035076449905133
0044,0.7035076449905133
0045,0.7055080426674174
0046,0.7102278461487473
0047,0.7133511425588848
0048,0.7142575973521343
0049,0.7144216390750695
0050,0.7144216390750695
0051,0.7144216390750695
0052,0.715859903878178
0053,0.715859903878178
0054,0.715859903878178
0055,0.7163953178349803
0056,0.7193232140413084
0057,0.7193232140413084
0058,0.7193232140413084
0059,0.7193232140413084
0060,0.7200609046983867
0061,0.7200609046983867
0062,0.7227838730250782
0063,0.7227838730250782
0064,0.7227838730250782
0065,0.7236233441147958
0066,0.7236233441147958
0067,0.7237622410584832
0068,0.7258411087232084
0069,0.7258411087232084
0070,0.7268208851956486
0071,0.7272587440369175
