# ----------------------------------------
# User acquisition: First user primary channel group (Default Channel Group)
# Account: MONFRERE
# Property: MONFRERE
# ----------------------------------------
# 
# All Users
# Start date: 20240101
# End date: 20241231
First user primary channel group (Default Channel Group),Week,Total users,New users,Returning users,Average engagement time per active user,Engaged sessions per active user,Event count,Key events,User key event rate
Cross-network,26,1095,659,180,20.833486660533577,1.0846366145354185,11823,3,0.0027598896044158236
Organic Social,25,1090,568,163,39.546210720887245,1.1321626617375231,23155,9,0.00831792975970425
Cross-network,15,1077,572,130,29.49953488372093,1.0586046511627907,13918,7,0.0065116279069767444
Referral,09,1058,1057,3,1.021759697256386,0.013245033112582781,4542,1,0.000946073793755913
Direct,11,1043,429,201,63.86763285024155,1.2840579710144928,25679,17,0.014492753623188406
Paid Social,04,1031,869,128,29.188222923238698,0.6109358569926393,10602,5,0.004206098843322818
Organic Social,01,1018,950,57,8.618034447821682,0.4093211752786221,6587,5,0.005065856129685917
Organic Social,11,1014,726,34,10.344032096288867,0.7382146439317954,8853,6,0.0050150451354062184
Email,27,1002,594,220,37.126,1.062,15899,11,0.01
Direct,10,961,381,166,59.217758985200845,1.26215644820296,21872,18,0.015856236786469344
Organic Social,02,961,903,59,12.345010615711253,0.4140127388535032,6798,4,0.004246284501061571
Paid Social,10,956,598,131,15.449561403508772,0.8958333333333334,9634,3,0.003289473684210526
Direct,12,948,361,210,64.9989350372737,1.2981895633652822,25047,19,0.02023429179978701
Email,26,945,390,260,44.39638682252922,1.2709883103081827,19708,19,0.019128586609989374
Paid Social,11,934,503,139,18.646927374301676,0.9698324022346368,10374,1,0.0011173184357541898
Direct,04,928,803,207,56.229490022172946,0.9135254988913526,14997,13,0.014412416851441241
Organic Search,17,925,441,262,100.5479302832244,1.3616557734204793,36448,24,0.026143790849673203
Direct,22,908,383,180,42.04767184035477,1.0509977827050998,15368,13,0.013303769401330377
Paid Social,09,869,696,157,21.857142857142858,0.7967980295566502,8499,3,0.003694581280788177
Email,44,862,823,67,24.57375145180023,0.9849012775842044,10106,6,0.005807200929152149
Direct,03,859,732,209,77.53132530120482,1.0036144578313253,17557,22,0.02650602409638554
Organic Search,18,842,363,282,130.5966386554622,1.481392557022809,42585,39,0.04321728691476591
Email,17,828,281,325,115.72463768115942,1.5265700483091786,36246,36,0.043478260869565216
Paid Social,02,827,703,125,22.24777636594663,0.8081321473951716,7579,3,0.0038119440914866584
Direct,27,824,257,253,45.31463414634146,1.1951219512195121,17015,11,0.013414634146341463
Cross-network,23,812,486,119,25.960542540073984,1.1516646115906288,10478,1,0.0012330456226880395
Cross-network,21,806,486,121,20.89179104477612,1.1554726368159205,10605,4,0.004975124378109453
Direct,31,804,655,140,49.589285714285715,1.1058673469387754,12741,21,0.025510204081632654
Direct,05,799,673,177,62.8062015503876,0.9263565891472868,13113,18,0.023255813953488372
