"publisher_name","PublisherID","parent_publisher_type","publisher_type","publisher_tags","return_on_investment (ROI)","cost_per_acquisition (CPA)","cost_per_click (CPC)","impressions","all_clicks","total_conversion_rate","total_aov","pending_aov","approved_aov","bonus_aov","declined_aov","total_transactions","pending_transactions","approved_transactions","bonus_transactions","declined_transactions","total_revenue","pending_revenue","approved_revenue","bonus_revenue","declined_revenue","total_commission","pending_commission","approved_commission","bonus_commission","declined_commission","total_influence","converted_solo","converted_awin","assisted_awin","assisted_awin_1st","assisted_other_channels"
"surfmyads.com","509365","Content","Discount Code","","16.67","8.45","0.27","0","31","3.23","140.88","0","140.88","0","0","1","0","1","0","0","140.88","0","140.88","0","0","8.45","0","8.45","0","0","4","1","0","0","0","3"
"Brandreward - Display","1517491","Display","Subnetworks","","16.68","5.97","0","0","1675","0.06","99.58","99.58","0","0","0","1","1","0","0","0","99.58","99.58","0","0","0","5.97","5.97","0","0","0","1","1","0","0","0","0"
"LinkPrefer","1137879","Content","Bloggers & Social Content","","8.34","3.45","0","0","16667","0.01","28.78","28.78","0","0","0","1","1","0","0","0","28.78","28.78","0","0","0","3.45","3.45","0","0","0","1","1","0","0","0","0"
"TopCashback (USA) Inc","137879","Content","Cashback","","16.65","3.22","0.36","0","9","11.11","53.6","53.6","0","0","0","1","1","0","0","0","53.6","53.6","0","0","0","3.22","3.22","0","0","0","1","1","0","0","0","0"
"Example Publisher","45628","Display","Ad Networks","","16.68","2.81","0.05","0","52","1.92","46.88","0","46.88","0","69.43","1","0","1","0","2","46.88","0","46.88","0","138.86","2.81","0","2.81","0","11.15","4","3","0","0","0","1"
"SimplyCodes","796279","Content","Discount Code","","16.69","2","0.03","0","60","1.67","33.38","33.38","0","0","0","1","1","0","0","0","33.38","33.38","0","0","0","2","2","0","0","0","2","1","0","0","0","1"
"Awin Broken Links Account","13430","Display","Subnetworks","","0","0","0","0","57","1.75","34.8","0","34.8","0","34.8","1","0","1","0","1","34.8","0","34.8","0","34.8","0","0","0","0","0","2","2","0","0","0","0"
"FMTC","51861","Content","Discount Code","","0","0","0","0","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Shopnomix LLC - Content & Creator","72311","Search","Direct Linking","","0","0","0","0","47","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"MNP Enterprises, LLC","73286","Content","Cashback","","0","0","0","0","366","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"uk.book-club-offers.com","82717","Content","Discount Code","","0","0","0","0","97","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sovrn Commerce","85386","Display","Subnetworks","","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Love Savings Group","96290","Content","Discount Code","","0","0","0","0","96","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
