"publisher_name","PublisherID","parent_publisher_type","publisher_type","publisher_tags","return_on_investment (ROI)","cost_per_acquisition (CPA)","cost_per_click (CPC)","impressions","all_clicks","total_conversion_rate","total_aov","pending_aov","approved_aov","bonus_aov","declined_aov","total_transactions","pending_transactions","approved_transactions","bonus_transactions","declined_transactions","total_revenue","pending_revenue","approved_revenue","bonus_revenue","declined_revenue","total_commission","pending_commission","approved_commission","bonus_commission","declined_commission","total_influence","converted_solo","converted_awin","assisted_awin","assisted_awin_1st","assisted_other_channels"
"SHOPTASTIC PTE. LTD.","1528223","Content","Cashback","","0","0","0","0","36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"IN Technologie Inc","1534241","Display","Subnetworks","","0","0","0","0","103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"StellaBuntrock","1541181","Content","Bloggers & Social Content","","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Lovepik","1544047","Content","Discount Code","","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"DONTPAYFULL SRL","1559536","Display","Contextual Targeting","","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"OCEANSHINY LTD","1569824","Content","Shopping Directory","","0","0","0","0","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Linkbux Content","1613500","Content","Bloggers & Social Content","","0","0","0","0","43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Offers Galaxy","1639809","Content","Discount Code","","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Smart Media Buying LLC","1640367","Display","Ad Networks","","0","0","0","0","1405","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tamarin Capital Limited","1648481","Content","Bloggers & Social Content","","0","0","0","0","770","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Pie","1694421","Content","Cashback","","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"SHOPSZZ Retail","1711767","Content","Bloggers & Social Content","","0","0","0","0","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ShopBack","1716069","Content","Cashback","","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"FANLI SINGAPORE PTE. LTD.","1716099","Content","Cashback","","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Converg Experts","1727095","Content","Editorial Content","","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"grabcouponss","1743683","Content","Bloggers & Social Content","","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"KS LOGICO LTD","1752497","Content","Discount Code","","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Minty.com","1754643","Content","Cashback","","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"MIMONI","1760193","Content","Discount Code","","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Daily Birds Ltd","1775588","Content","Bloggers & Social Content","","0","0","0","0","315","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Curious Labs Ltd","1775840","Content","Discount Code","","0","0","0","0","8","0","0","0","0","0","116.32","0","0","0","0","2","0","0","0","0","232.64","0","0","0","0","27.92","2","2","0","0","0","0"
"Mr. Link AI Technologies LLC FZ","1800170","Content","Bloggers & Social Content","","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Linkshakes Content Commerce Solutions LLC FZ","1800174","Display","Subnetworks","","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nick Sciarra LLC","1804908","Content","Discount Code","","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"knitsnairoo1","1820080","Content","Bloggers & Social Content","","0","0","0","0","85","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"adalizkinzl7","1820150","Content","Bloggers & Social Content","","0","0","0","0","841","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Elevatexpert","1825698","Content","Bloggers & Social Content","","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"A.B. CLUB","1831884","Search","Social Search","","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"digidip GmbH - shopping extensions","1848300","Content","Discount Code","","0","0","0","0","39","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"FatCoupon Technology Ltd","1848574","Content","Cashback","","0","0","0","0","121","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hortensiabare386","1855274","Content","Bloggers & Social Content","","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Takeads FZ-LLC","1858990","Display","Subnetworks","","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Digi Solution","1859962","Display","Subnetworks","","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"SmartSave AI ApS","1861588","Content","Discount Code","","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"emmamarroneca","1866496","Content","Bloggers & Social Content","","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Search.com, LLC","1928589","Content","Cashback","","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"JLM International Distributors LLC","1929917","Content","Bloggers & Social Content","","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"VerifiedPromoCode","1944205","Content","Discount Code","","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Asenco Inc.","1944389","Content","Discount Code","","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"Review Wire Media, LLC","1946249","Content","Comparison Engine","","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mutyala Satish Kumar","1946275","Content","Discount Code","","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Digintrack Influencer Creator","1946341","Display","Subnetworks","","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Your Gal Monday Inc.","1946389","Content","Discount Code","","0","0","0","0","45","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sidra Faisal","1946415","Content","Editorial Content","","0","0","0","0","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Just Jewelry Savings","1946629","Content","Discount Code","","0","0","0","0","235","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15 year gap","1946639","Search","Direct Linking","","0","0","0","0","376","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"SACHIN SOMNATH MADGUNDI","1946823","Content","Editorial Content","","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Muhammad Obaid ","1952335","Content","Editorial Content","","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Lookareview","1953005","Content","Editorial Content","","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Heather Baugh","1963111","Content","Editorial Content","","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"STELLIO LTD","1964073","Content","Editorial Content","","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Westlake Dermatology","2562487","Content","Bloggers & Social Content","","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Skimlinks Rewards sites","2573975","Content","Cashback","","0","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AniHavenly","2590157","Content","Communities and User-Generated Content","","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
