Raw Product String,Parsed_Fabric,Parsed_Body,Parsed_Color,Parsed_Size
Noah Butter Suede Cool Grey - Cool Grey / L,Butter Suede,Noah,Cool Grey,L
Noah Butter Suede Cool Grey - Cool Grey / XL,Butter Suede,Noah,Cool Grey,XL
Noah Butter Suede Noir - Suede Noir / L,Butter Suede,Noah,Noir,L
Noah Butter Suede Cool Grey - Cool Grey / M,Butter Suede,Noah,Cool Grey,M
Noah Butter Suede Cool Grey,Butter Suede,Noah,Cool Grey,Unknown
Noah Butter Suede Ivory - Ivory / XL,Butter Suede,Noah,Ivory,XL
Noah Butter Suede Noir - Suede Noir / S,Butter Suede,Noah,Noir,S
Noah Butter Suede Noir,Butter Suede,Noah,Noir,Unknown
Noah Butter Suede Ivory - Ivory / S,Butter Suede,Noah,Ivory,S
Noah Butter Suede Noir - Suede Noir / M,Butter Suede,Noah,Noir,M
Noah Butter Suede Cool Grey - Cool Grey / S,Butter Suede,Noah,Cool Grey,S
Noah Butter Suede Ivory,Butter Suede,Noah,Ivory,Unknown
Noah Butter Suede Noir - Suede Noir / XXL,Butter Suede,Noah,Noir,XXL
Noah Butter Suede Noir - Suede Noir / XL,Butter Suede,Noah,Noir,XL
Clint Coated Noir - 40,Coated,Clint,Noir,Unknown
Clint Coated Noir - 28,Coated,Clint,Noir,Unknown
Clint Coated Noir - 29,Coated,Clint,Noir,Unknown
Clint Coated Noir - 31,Coated,Clint,Noir,Unknown
Clint Coated Noir - 36,Coated,Clint,Noir,Unknown
Clint Coated Noir - 30,Coated,Clint,Noir,Unknown
Clint Coated Noir - 32,Coated,Clint,Noir,Unknown
Clint Coated Noir,Coated,Clint,Noir,Unknown
Clint Coated Noir - 34,Coated,Clint,Noir,Unknown
Clint Coated Noir - 33,Coated,Clint,Noir,Unknown
Clint Coated Noir - 38,Coated,Clint,Noir,Unknown
Clint Aged Coated Steel - 42,Coated,Clint Aged,Steel,Unknown
Clint Aged Coated Steel - 28,Coated,Clint Aged,Steel,Unknown
Clint Aged Coated Steel,Coated,Clint Aged,Steel,Unknown
Clint Aged Coated Steel - 30,Coated,Clint Aged,Steel,Unknown
Clint Aged Coated Steel - 31,Coated,Clint Aged,Steel,Unknown
Clint Aged Coated Steel - 38,Coated,Clint Aged,Steel,Unknown
Clint Aged Coated Steel - 32,Coated,Clint Aged,Steel,Unknown
Clint Aged Coated Steel - 36,Coated,Clint Aged,Steel,Unknown
Clint Aged Coated Steel - 34,Coated,Clint Aged,Steel,Unknown
Clint Aged Coated Steel - 33,Coated,Clint Aged,Steel,Unknown
Clint Aged Coated Steel - 40,Coated,Clint Aged,Steel,Unknown
Clint Vintage Coated Noir - 31,Coated,Clint Vintage,Noir,Unknown
Clint Vintage Coated Noir - Vntage Coated Noi / 33,Coated,Clint Vintage,Noir,33
Clint Vintage Coated Noir - Vntage Coated Noi / 30,Coated,Clint Vintage,Noir,30
Clint Vintage Coated Noir - 33,Coated,Clint Vintage,Noir,Unknown
Clint Vintage Coated Noir - Vntage Coated Noi / 40,Coated,Clint Vintage,Noir,40
Clint Vintage Coated Noir - 30,Coated,Clint Vintage,Noir,Unknown
Clint Vintage Coated Noir - 40,Coated,Clint Vintage,Noir,Unknown
Clint Vintage Coated Noir - Vntage Coated Noi / 34,Coated,Clint Vintage,Noir,34
Clint Vintage Coated Noir - 36,Coated,Clint Vintage,Noir,Unknown
Clint Vintage Coated Noir - 28,Coated,Clint Vintage,Noir,Unknown
Clint Vintage Coated Noir - Vntage Coated Noi / 28,Coated,Clint Vintage,Noir,28
Clint Vintage Coated Noir - 32,Coated,Clint Vintage,Noir,Unknown
Cooper Coated Noir - Coated Noir / XXL,Coated,Cooper,Noir,XXL
Cooper Coated Noir - Coated Noir / S,Coated,Cooper,Noir,S
Cooper Coated Noir - Coated Noir / L,Coated,Cooper,Noir,L
Cooper Coated Noir - Coated Noir / XL,Coated,Cooper,Noir,XL
Cooper Coated Noir,Coated,Cooper,Noir,Unknown
Cooper Coated Noir - Coated Noir / M,Coated,Cooper,Noir,M
Dean Coated Cafe - L,Coated,Dean,Cafe,Unknown
Dean Coated Malachite - Coated Malachite / M,Coated,Dean,Malachite,M
Dean Coated Malachite - Coated Malachite / S,Coated,Dean,Malachite,S
Dean Coated Noir - Coated Noir / S,Coated,Dean,Noir,S
Dean Coated Asphalt - M,Coated,Dean,Asphalt,Unknown
Dean Coated Noir - Coated Noir / L,Coated,Dean,Noir,L
Dean Coated Noir,Coated,Dean,Noir,Unknown
Dean Coated Cafe - XS,Coated,Dean,Cafe,Unknown
Dean Coated Asphalt - XXL,Coated,Dean,Asphalt,Unknown
Dean Coated Asphalt - XS,Coated,Dean,Asphalt,Unknown
Dean Coated Noir - Coated Noir / XL,Coated,Dean,Noir,XL
Dean Coated Noir - M / Coated Noir,Coated,Dean,Noir,Coated Noir
Dean Coated Malachite - Coated Malachite / L,Coated,Dean,Malachite,L
Dean Coated Malachite,Coated,Dean,Malachite,Unknown
Dean Coated Noir - Coated Noir / M,Coated,Dean,Noir,M
Dean Coated Noir - M,Coated,Dean,Noir,Unknown
Dean Coated Malachite - Coated Malachite / XXL,Coated,Dean,Malachite,XXL
Dean Coated Noir - S,Coated,Dean,Noir,Unknown
Dean Coated Noir - L / Coated Noir,Coated,Dean,Noir,Coated Noir
Dean Coated Malachite - Coated Malachite / XL,Coated,Dean,Malachite,XL
Dean Coated Cafe,Coated,Dean,Cafe,Unknown
Dean Coated Malachite - Coated Malachite / XS,Coated,Dean,Malachite,XS
Dean Coated Noir - S / Coated Noir,Coated,Dean,Noir,Coated Noir
