# ----------------------------------------
# Traffic acquisition: Session primary channel group (Default Channel Group)
# Account: MONFRERE
# Property: MONFRERE
# ----------------------------------------
# 
# All Users
# Start date: 20240101
# End date: 20241231
Session primary channel group (Default Channel Group),Week,Sessions,Engaged sessions,Engagement rate,Average engagement time per session,Events per session,Event count,Key events,Session key event rate,Total revenue
Email,37,84663,69432,0.8200985082031111,33.142458925386535,10.460212843863317,885593,5,0.000047246140580891296,926.309304
Email,45,54799,39362,0.7182977791565539,11.163433639299987,6.399496341174109,350686,34,0.0006022007700870453,5254.52
Email,36,27930,23249,0.8324024346580737,33.59076262083781,10.966917293233083,306306,31,0.0007876834944504118,7588.95
Paid Social,17,9424,9319,0.988858234295416,39.121922750424446,20.32576400679117,191550,69,0.007215619694397283,12154.1
Unassigned,45,9303,29,0.0031172739976351714,21.738148984198645,4.235730409545308,39405,0,0,0
Paid Social,18,7742,7607,0.9825626453112891,33.38982175148541,17.696848359597002,137009,41,0.005295789201756652,5406.07
Organic Social,41,6490,6187,0.9533127889060092,21.69738058551618,12.619722650231125,81902,6,0.0006163328197226503,2261.62
Paid Social,16,6447,6326,0.9812315805801148,49.484101132309604,23.414301225376143,150952,79,0.011478206917946331,13306
Organic Social,36,6352,5984,0.9420654911838791,15.993073047858942,10.791561712846347,68548,10,0.0009445843828715365,1094.29
Organic Social,38,6236,5965,0.9565426555484284,14.315105837075048,11.578094932649135,72201,18,0.001924310455420141,1957.03
Direct,25,6129,5985,0.9765051395007343,26.17294827867515,12.084353075542502,74065,13,0.0021210637950726057,1835.28
Organic Social,42,5913,5464,0.924065618129545,15.613563335024523,11.06561812954507,65431,10,0.0013529511246406223,3411.54
Organic Social,39,5551,5255,0.946676274545127,16.223383174202848,11.672131147540984,64792,7,0.0007205908845253108,704.74
Organic Social,37,5330,4922,0.9234521575984991,16.617073170731707,11.194934333958724,59669,14,0.0020637898686679174,2800.16
Organic Social,35,5280,4908,0.9295454545454546,17.077462121212122,11.547916666666667,60973,31,0.004545454545454545,6294
Cross-network,25,5135,4337,0.8445959104186952,12.105744888023368,5.5668938656280424,28586,3,0.0005842259006815969,566.5
Organic Social,34,4382,4017,0.916704701049749,17.219762665449565,11.067549064354177,48498,16,0.002510269283432223,3020.9
Organic Social,40,4380,3919,0.8947488584474886,19.06461187214612,12.299086757990867,53870,7,0.0009132420091324201,917.52
Organic Social,52,4319,3965,0.9180365825422552,18.367446168094467,13.65524426950683,58977,25,0.005788376939106275,3611.09
Organic Social,51,3779,3225,0.8534003704683779,9.842286319132045,9.55887801005557,36123,11,0.0029108229690394285,4081.19
Organic Social,47,3772,3183,0.8438494167550371,30.640774125132555,17.806468716861083,67166,31,0.007953340402969246,4579.65
Organic Social,48,3673,3093,0.8420909338415464,26.00272257010618,16.07732099101552,59052,31,0.008167710318540702,4477.78
Organic Social,49,3633,2853,0.7853014037985137,16.385631709331133,12.165703275529864,44198,19,0.00495458298926507,4684.09
Organic Social,50,3626,3074,0.8477661334804192,10.372586872586872,9.879757308328736,35824,13,0.0035852178709321566,4940.05
Organic Social,43,3208,2639,0.8226309226932669,13.511845386533667,10.436720698254364,33481,9,0.002805486284289277,2561.13
Organic Social,46,2806,2193,0.7815395580898076,13.061297220242338,10.767640769779044,30214,9,0.0032074126870990736,1974.24
Organic Social,23,2787,2146,0.7700035880875493,13.583423035522067,10.284894151417294,28664,7,0.002511661284535343,1034.24
Email,18,2758,2623,0.9510514865844815,83.47171863669325,33.02356780275562,91079,114,0.03915881073241479,18805.884826
Organic Social,53,2666,2492,0.9347336834208552,27.51425356339085,17.087771942985746,45556,21,0.007876969242310577,3265.68
Organic Social,33,2658,2211,0.8318284424379232,27.242663656884876,12.755455229495862,33904,48,0.015048908954100828,7520.36
Organic Social,44,2546,1900,0.746268656716418,11.464257659073056,10.147289866457188,25835,6,0.002356637863315004,1805.75
Organic Social,45,2471,2017,0.8162687171185755,11.634560906515581,10.276001618777823,25392,6,0.0024281667341157424,1557.34
Organic Social,26,2333,2241,0.9605657951135876,24.47621088726961,14.560222888984141,33969,17,0.006858122588941277,2239.67
Email,25,2185,2049,0.9377574370709382,53.526315789473685,23.60594965675057,51579,65,0.028375286041189933,9573.08
Cross-network,16,2090,1988,0.9511961722488038,30.611483253588517,13.480382775119617,28174,28,0.013397129186602871,5491.25
Direct,23,2074,2044,0.9855351976856316,19.033751205400193,11.732883317261331,24334,13,0.00626808100289296,2727.9
Paid Social,19,1966,1891,0.9618514750762971,35.81332655137334,19.54272634791455,38421,18,0.008138351983723296,2509.66
Organic Social,08,1931,561,0.290523045054376,7.772656654583118,6.527705851890213,12605,5,0.002589331952356292,1058.5
Organic Social,04,1906,513,0.2691500524658972,5.5299055613851,5.853620146904512,11157,6,0.0031479538300104933,1580.34
Referral,08,1905,27,0.014173228346456693,1.1606299212598425,4.27244094488189,8139,0,0,0
Cross-network,11,1845,1783,0.9663956639566396,32.74417344173442,13.560975609756097,25020,8,0.004336043360433604,1800.91
Cross-network,12,1811,1760,0.9718387631143015,32.1225842076201,13.950855880728879,25265,8,0.004417448923246825,2228.4
Email,14,1803,1590,0.8818635607321131,38.7936772046589,15.680532445923461,28272,27,0.014975041597337771,6121.6
Organic Social,17,1778,1342,0.7547806524184477,25.15185601799775,13.541057367829021,24076,8,0.0044994375703037125,1997.66
Organic Social,03,1762,462,0.26220204313280365,4.088535754824064,5.323496027241771,9380,8,0.003972758229284903,2101.21
Email,17,1720,1666,0.9686046511627907,76.3546511627907,30.773837209302325,52931,39,0.022674418604651164,7051.2
Organic Social,09,1711,620,0.36236119228521335,6.365867913500876,6.033898305084746,10324,18,0.008182349503214495,4503.83
Cross-network,10,1708,1563,0.9151053864168618,31.759953161592506,12.02927400468384,20546,11,0.00585480093676815,2189.76
Organic Social,18,1651,1262,0.7643852210781344,27.2404603270745,14.462749848576621,23878,12,0.0072683222289521504,1346.66
Organic Social,25,1624,1549,0.9538177339901478,28.66933497536946,16.836822660098523,27343,10,0.006157635467980296,1136.2
Cross-network,22,1611,1564,0.9708255741775295,18.96151458721291,10.597144630664184,17072,5,0.0031036623215394167,1063.52
Cross-network,09,1593,1244,0.7809165097300691,28.83050847457627,8.887633396107972,14158,5,0.003138731952291274,1616.752834
Direct,37,1580,1301,0.8234177215189873,26.957594936708862,13.136708860759494,20756,15,0.006329113924050633,4611.86
Organic Social,24,1538,1354,0.8803641092327699,16.193107932379714,11.597529258777634,17837,5,0.003250975292587776,1900.35
Organic Social,16,1525,954,0.6255737704918033,27.788196721311476,13.685245901639345,20870,10,0.006557377049180328,2294.5
Email,27,1484,1298,0.8746630727762803,31.971698113207548,13.805256064690028,20487,19,0.012803234501347708,4315.93
Email,26,1473,1411,0.957909029192125,36.38492871690428,17.255940257976917,25418,23,0.015614392396469789,3252.987488
Unassigned,37,1462,39,0.02667578659370725,35.03761969904241,6.40218878248974,9360,1,0.0006839945280437756,53.9
Cross-network,04,1457,1185,0.8133150308853809,34.410432395332876,11.459162663006177,16696,17,0.011667810569663692,4723.84
Paid Social,08,1448,1170,0.8080110497237569,21.97582872928177,9.595303867403315,13894,8,0.0055248618784530384,1744.72
Cross-network,26,1447,1371,0.9474775397373877,17.35798203178991,9.412577747062889,13620,4,0.0027643400138217,696.88
Cross-network,08,1436,1114,0.775766016713092,25.904596100278553,8.617688022284122,12375,2,0.001392757660167131,742.88
Organic Social,32,1414,963,0.6810466760961811,23.915841584158414,10.643564356435643,15050,35,0.024045261669024046,4649.81
Email,19,1400,1328,0.9485714285714286,64.08,28.297857142857143,39617,32,0.022857142857142857,5048.45
Organic Social,05,1386,471,0.3398268398268398,6.367965367965368,5.848484848484849,8106,2,0.001443001443001443,364.76
Organic Search,18,1378,1310,0.9506531204644412,82.9288824383164,33.20246734397678,45753,47,0.033381712626995644,13504.906806
Direct,17,1363,1261,0.9251650770359501,46.786500366837856,18.246515040352165,24870,14,0.010271460014673514,2586.7
Direct,36,1345,1166,0.866914498141264,26.707063197026024,13.252044609665427,17824,30,0.01412639405204461,8003.221943
Organic Search,17,1322,1261,0.953857791225416,68.4697428139183,26.223903177004537,34668,21,0.01588502269288956,6438.93
Email,03,1299,890,0.6851424172440339,67.37413394919169,15.167821401077752,19703,29,0.02155504234026174,5292.42
Cross-network,15,1297,1230,0.9483423284502699,51.114880493446414,13.002313030069391,16864,11,0.008481110254433308,2177.6
Email,21,1278,1227,0.960093896713615,42.51251956181534,16.50078247261346,21088,19,0.01486697965571205,4846.58
Direct,16,1212,1143,0.943069306930693,50.60891089108911,19.126237623762375,23181,24,0.01485148514851485,4335.95
Direct,18,1190,1127,0.9470588235294117,52.11932773109244,18.200840336134455,21659,23,0.019327731092436976,4851.13
Email,48,1181,1120,0.9483488569009314,79.78577476714649,32.737510584250636,38663,27,0.02286198137171888,5394.095844
Paid Social,10,1180,927,0.785593220338983,13.45593220338983,8.804237288135592,10389,3,0.002542372881355932,602.7
Direct,26,1134,1099,0.9691358024691358,24.764550264550266,14.284832451499119,16199,6,0.005291005291005291,469.88
Email,15,1132,1049,0.926678445229682,63.513250883392224,23.539752650176677,26647,56,0.045936395759717315,8158.6
Cross-network,21,1112,1086,0.9766187050359713,20.20863309352518,11.821043165467627,13145,3,0.002697841726618705,830.5
Direct,24,1111,1091,0.981998199819982,30.943294329432945,15.81998199819982,17576,9,0.0072007200720072,2054.6
Organic Social,11,1107,742,0.6702800361336947,9.315266485998194,8.200542005420054,9078,6,0.005420054200542005,1582.8
Organic Search,14,1095,1046,0.9552511415525115,53.92146118721461,22.658447488584475,24811,15,0.0136986301369863,4987
Organic Social,01,1092,388,0.3553113553113553,7.393772893772894,5.993589743589744,6545,5,0.004578754578754579,2208.08
Paid Social,11,1083,923,0.8522622345337026,16.865189289012005,10.334256694367498,11192,1,0.0009233610341643582,185.5
Paid Social,04,1076,575,0.5343866171003717,27.20817843866171,9.596654275092936,10326,4,0.0037174721189591076,1334.32
Referral,09,1073,23,0.021435228331780055,1.4687791239515378,4.418452935694315,4741,1,0.0009319664492078285,833.84
Cross-network,23,1063,1039,0.9774223894637818,22.75917215428034,11.36500470366886,12081,2,0.0018814675446848542,1030.688311
Direct,13,1061,1006,0.9481621112158342,46.811498586239395,20.416588124410932,21662,20,0.017907634307257305,3554.08
Organic Social,02,1049,378,0.3603431839847474,8.647283126787416,6.071496663489037,6369,3,0.002859866539561487,714.74
Direct,04,1014,632,0.6232741617357002,37.66962524654832,11.45956607495069,11620,7,0.006903353057199211,1036.29
Organic Social,27,1009,897,0.8889990089197225,16.98711595639247,11.421209117938552,11524,4,0.003964321110009911,411.43
Email,44,1001,911,0.9100899100899101,23.56143856143856,11.17882117882118,11190,6,0.004995004995004995,3073.48
Organic Search,19,990,937,0.9464646464646465,74.91515151515152,29.49191919191919,29197,25,0.023232323232323233,9296.819139
Direct,03,970,634,0.6536082474226804,49.761855670103095,13.58659793814433,13179,19,0.01958762886597938,4317.48
Paid Social,09,970,658,0.6783505154639176,17.724742268041236,8.411340206185567,8159,2,0.002061855670103093,196.4
Organic Search,13,955,909,0.9518324607329843,61.887958115183245,22.58743455497382,21571,20,0.018848167539267015,6137.98
Direct,12,953,884,0.9275970619097587,47.896117523609654,19.508919202518364,18592,15,0.015739769150052464,3256.5
Direct,11,948,873,0.9208860759493671,45.2626582278481,16.518987341772153,15660,11,0.011603375527426161,2160.07
Organic Social,10,909,465,0.5115511551155115,13.536853685368538,9.071507150715071,8246,3,0.0033003300330033004,752.37
Organic Search,15,904,865,0.956858407079646,95.39601769911505,35.610619469026545,32192,22,0.024336283185840708,19685.166395
Email,28,898,775,0.8630289532293987,32.51781737193764,11.461024498886415,10292,4,0.004454342984409799,1147.02
Paid Social,02,894,632,0.7069351230425056,18.848993288590606,8.146532438478747,7283,3,0.003355704697986577,952.7
Organic Search,20,892,846,0.9484304932735426,52.487668161434975,23.682735426008968,21125,19,0.021300448430493273,5020.743597
Direct,05,861,567,0.6585365853658537,44.97444831591173,12.289198606271777,10581,13,0.015098722415795587,2599.45
Cross-network,24,859,825,0.9604190919674039,18.339930151338766,10.444703143189756,8972,1,0.0011641443538998836,305.55
Cross-network,17,850,773,0.9094117647058824,30.49058823529412,11.717647058823529,9960,6,0.007058823529411765,1738.16
Direct,10,848,756,0.8915094339622641,41.77594339622642,15.96816037735849,13541,10,0.01061320754716981,3600.58
Organic Social,19,836,522,0.6244019138755981,21.965311004784688,13.503588516746412,11289,3,0.0035885167464114833,614.47
Direct,31,832,743,0.8930288461538461,39.91826923076923,12.969951923076923,10791,17,0.020432692307692308,6872.068264
Organic Search,16,827,783,0.9467956469165659,59.51148730350665,22.05199516324063,18237,27,0.02902055622732769,4083.85
Organic Search,06,821,657,0.8002436053593179,85.8599269183922,20.200974421437273,16585,13,0.015834348355663823,3258.96
Email,02,814,630,0.773955773955774,81.44594594594595,18.737100737100736,15252,20,0.02457002457002457,3585.602722
Direct,02,806,494,0.6129032258064516,42.76302729528536,12.5,10075,7,0.008684863523573201,2453.54
Email,22,801,749,0.9350811485642946,35.91760299625468,18.415730337078653,14751,17,0.02122347066167291,3303.199047
Cross-network,33,792,756,0.9545454545454546,41.13636363636363,13.669191919191919,10826,25,0.030303030303030304,4013.64
Email,20,774,741,0.9573643410852714,42.1937984496124,19.927648578811368,15424,10,0.012919896640826873,2150.3
Email,46,774,737,0.9521963824289406,67.33462532299741,28.63953488372093,22167,22,0.028423772609819122,3468.992812
Email,13,773,700,0.9055627425614489,58.51875808538163,21.69469598965071,16770,26,0.03363518758085381,9736.41919
Email,04,763,579,0.7588466579292268,67.76802096985583,15.882044560943644,12118,13,0.01703800786369594,1505.24
Organic Social,31,757,426,0.5627476882430648,22.367239101717306,8.947159841479525,6773,6,0.007926023778071334,863.5
Direct,08,755,474,0.6278145695364239,47.04503311258278,13.270198675496689,10019,9,0.011920529801324504,2263.27
Cross-network,52,753,727,0.9654714475431607,41.71713147410359,17.95219123505976,13518,16,0.021248339973439574,3669.5
Paid Social,05,751,469,0.6245006657789614,26.81624500665779,9.372836218375499,7039,7,0.009320905459387484,1036.92
