"Reporting starts","Reporting ends","Ad name","Ad delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (USD)",Impressions,Reach,Frequency,"CPM (cost per 1,000 impressions) (USD)",Purchases,Ends,"Attribution setting",Bid,"Bid type","Last significant edit","Quality ranking","Engagement rate ranking","Conversion rate ranking","Ad set name","Meta leads","Purchase ROAS (return on ad spend)","Campaign name"
2023-02-05,2026-03-05,"Conv - GIF - Parisian Luxe 12/22 - Copy",archived,,,,60,Daily,9.64,466,360,1.294444,20.686695,,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"C12 - Cold - (Reel & Story) - edited",,,"C12 - Cold Prospecting (interest)"
2023-02-05,2026-03-05,"Conv - Static - Wax Coated Dean Jacket 12/22",archived,,,,60,Daily,26.9,1615,1271,1.270653,16.656347,,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"C12 - Cold - (Reel & Story) - edited",,,"C12 - Cold Prospecting (interest)"
2023-02-05,2026-03-05,"Conv - Static - Greyson Red Leopard 12/22 - Copy",archived,4,actions:offsite_conversion.fb_pixel_purchase,60.6075,60,Daily,242.43,7316,5419,1.350065,33.13696,4,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"C12 - Cold - (Reel & Story) - edited",,5.492018,"C12 - Cold Prospecting (interest)"
2023-02-05,2026-03-05,"Conv - GIF - Parisian Luxe 12/22",archived,3,actions:offsite_conversion.fb_pixel_purchase,216.02666667,80,Daily,648.08,50349,35135,1.433016,12.871755,3,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"C12 - Cold -  Men's Fashion Magazine",,2.5235,"C12 - Cold Prospecting (interest)"
2023-02-05,2026-03-05,"Instagram post: Denim like you’ve never seen...",archived,,,,"Using campaign budget",0,24.98,5066,3838,1.319958,4.930912,,2023-02-13,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Instagram Post",,,"Instagram post: Denim like you’ve never seen..."
2023-02-05,2026-03-05,"Instagram post: Add a touch of edge to your...",archived,,,,"Using campaign budget",0,25,3762,2950,1.275254,6.645401,,2023-02-18,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Instagram Post",,,"Instagram post: Add a touch of edge to your..."
2023-02-05,2026-03-05,"Instagram post: From the office to the weekend,...",archived,,,,"Using campaign budget",0,25,3317,2477,1.33912,7.536931,,2023-02-19,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Instagram Post",,,"Instagram post: From the office to the weekend,..."
2023-02-05,2026-03-05,"Instagram post: #Lildurk in our Greyson Coated...",archived,,,,"Using campaign budget",0,15,3751,3466,1.082227,3.998934,,2023-02-16,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Instagram Post",,,"Instagram post: #Lildurk in our Greyson Coated..."
2023-02-05,2026-03-05,"Conv - Static - Dean Fuschia 2/23",archived,4,actions:offsite_conversion.fb_pixel_purchase,122.5075,80,Daily,490.03,6558,638,10.278997,74.722476,4,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"C12 - BOF - Past Purchasers + PP Email 180 days",,2.612085,"C12 - Remarketing"
2023-02-05,2026-03-05,"Conv - Static - Eastwood Bone 2/23",archived,3,actions:offsite_conversion.fb_pixel_purchase,82.75666667,80,Daily,248.27,3942,513,7.684211,62.98072,3,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"C12 - BOF - Past Purchasers + PP Email 180 days",,3.338301,"C12 - Remarketing"
2023-02-05,2026-03-05,"Conv - Static - Dean Zebra 2/23",archived,2,actions:offsite_conversion.fb_pixel_purchase,202.41,80,Daily,404.82,6637,583,11.38422,60.994425,2,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"C12 - BOF - Past Purchasers + PP Email 180 days",,0.543451,"C12 - Remarketing"
2023-02-05,2026-03-05,"Conv - Video - Vintage Blanc 2/23",archived,,,,80,Daily,45.11,893,157,5.687898,50.515118,,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"C12 - BOF - Past Purchasers + PP Email 180 days",,,"C12 - Remarketing"
2023-02-05,2026-03-05,"Instagram post: Unparalleled quality and design -...",archived,,,,"Using campaign budget",0,27.99,3799,3340,1.137425,7.367728,,2023-02-20,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Instagram Post",,,"Instagram post: Unparalleled quality and design -..."
2023-02-05,2026-03-05,"Conv - Static - Dean Fuschia 2/23",archived,5,actions:offsite_conversion.fb_pixel_purchase,190.776,70,Daily,953.88,39681,20606,1.925701,24.038709,5,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"C12 - MOF - All Website Visitors +PV +CV",,2.002443,"C12 - Remarketing"
2023-02-05,2026-03-05,"Conv - Video - Vintage Blanc 2/23",archived,,,,70,Daily,86.81,3730,2474,1.50768,23.273458,,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"C12 - MOF - All Website Visitors +PV +CV",,,"C12 - Remarketing"
2023-02-05,2026-03-05,"Conv - Static - Eastwood Bone 2/23",archived,,,,70,Daily,251.18,9166,5307,1.727153,27.403448,,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"C12 - MOF - All Website Visitors +PV +CV",,,"C12 - Remarketing"
