"id","publisher_id","sale_amount","commission","date","commission_status","validation_date","extra","type","site_name","URL","decline_reason","referer","clickThroughTime","voucher_code","mins_between_click_trans","amended","amend_reason","old_sale_amount","old_commission","different_currency","ip","click_ref","click_device","transaction_device","publisher_url","transaction_parts","country_by_ip","custom_parameters","paid_to_publisher","invoice_id","transaction_query_id","commission_sharing_publisher_id","commission_sharing_publisher","partner_commission","commission_sharing_transaction_id","iphash","commission_sharing_selected_rate_publisher_id","products","campaign","tracked_parts","customer_acquisition","network_fee","service_partner_advertiser_cost"
"2092530538","796279","193.80","11.63","2026-04-13 14:15:00","2","2026-04-14 12:24:00","6881146929402","Sale","SimplyCodes","https://simplycodes.com/","Invalid claim - Transaction occurred too long ago","https://monfrerefashion.com/","2026-04-13 14:08:00","W15GWFGSW3S","7","No",,,,,"0.0.0.0","dio-HhC3gCpbVv","PC Windows","PC Windows","https://simplycodes.com/","RETURNING:193.80","United States of America","1: shopifyApp_5.4.1,2: #15846,3: px,4: web","no",,,,,"0.00",,"-8334775841714723653",,"[{""product_id"":""6930529812677"",""product_name"":""Brando Tinted Indigo"",""unit_price"":193.80,""quantity"":1,""sku_code"":""1008J71422_TINTED INDIG_31"",""commission_group_code"":""DEFAULT"",""category"":""""}]","","DEFAULT:193.80","returning","3.29","0.00"
"2093352430","1944389","298.00","17.88","2026-04-14 15:58:00","2","2026-04-30 13:06:00","6883446554874","Sale","Asenco Inc.","https://www.shareasale.com","Retailer issue - Unauthorised voucher code used","https://monfrerefashion.com/","2026-03-25 01:00:00","","29698","No",,,,,"0.0.0.0","","iPhone","iPhone","https://xyzcodes.com/","RETURNING:298.00","United States of America","1: shopifyApp_5.4.1,2: #15861,3: px,4: web","no",,,,,"0.00",,"-2417904989834263131",,"[{""product_id"":""9010346918138"",""product_name"":""Dean Butter Suede Noir"",""unit_price"":298.00,""quantity"":1,""sku_code"":""909S105001_SUEDE NOIR_XL"",""commission_group_code"":""DEFAULT"",""category"":""""}]","","DEFAULT:298.00","returning","5.07","0.00"
"2031479278","80338","88.00","4.40","2026-01-14 16:10:00","1","2026-02-10 13:01:00","6721193378042","Sale","intent.ly Overlays","https://intent.ly/",,"https://checkout.monfrerefashion.com/","2026-01-14 15:54:00","","16","No",,,,,"0.0.0.0","OID148092_DID160340_","iPhone","Apple Mac","https://www.monfrerefashion.com/products/dann-shirt-noir","RETURNING:88.00","United States of America","1: shopifyApp_5.2.5,2: 6721193378042,3: px,4: 24986320897","yes","11072934",,,,"0.00",,"5837755958055321380",,"[{""product_id"":""7715493740794"",""product_name"":""Dann Noir"",""unit_price"":88.00,""quantity"":1,""sku_code"":""306T72001_NOIR_M"",""commission_group_code"":""DEFAULT"",""category"":""""}]","","DEFAULT:88.00","returning","1.50","0.00"
"2053098521","1944389","521.40","31.28","2026-02-14 17:30:00","2","2026-02-24 14:57:00","6775729979642","Sale","Asenco Inc.","https://www.shareasale.com","Order not complete - manual commission added","https://checkout.monfrerefashion.com/","2026-02-10 07:31:00","","6359","No",,,,,"0.0.0.0","","iPhone","iPhone","https://xyzcodes.com/","RETURNING:521.40","United States of America","1: shopifyApp_5.2.5,2: #15422,3: px,4: 24986320897","no",,,,,"0.00",,"-632127418708495875",,"[{""product_id"":""8779330027770"",""product_name"":""Tactical Army"",""unit_price"":65.60,""quantity"":1,""sku_code"":""3618J55310_ARMY_40"",""commission_group_code"":""DEFAULT"",""category"":""""},{""product_id"":""8938623238394"",""product_name"":""Brando Encino"",""unit_price"":125.40,""quantity"":1,""sku_code"":""1008J75021_ENCINO_38"",""commission_group_code"":""DEFAULT"",""category"":""""},{""product_id"":""8938623303930"",""product_name"":""Brando Needle Cord Juniper"",""unit_price"":136.40,""quantity"":1,""sku_code"":""1008N85306_JUNIPER_38"",""commission_group_code"":""DEFAULT"",""category"":""""},{""product_id"":""8938623860986"",""product_name"":""Caine Clichy"",""unit_price"":136.40,""quantity"":1,""sku_code"":""1044J85408_CLICHY_38"",""commission_group_code"":""DEFAULT"",""category"":""""},{""product_id"":""8938623992058"",""product_name"":""Trooper Plum"",""unit_price"":57.60,""quantity"":1,""sku_code"":""3018S95504_PLUM_38"",""commission_group_code"":""DEFAULT"",""category"":""""}]","","DEFAULT:521.40","returning","8.86","0.00"
"2046588148","1944389","47.00","5.64","2026-02-05 03:54:00","1","2026-03-02 17:00:00","#15338","Sale","Asenco Inc.","https://www.shareasale.com",,"","2026-02-05 03:49:00","","5","No",,,,,"0.0.0.0","","iPhone","PC Unknown","https://xyzcodes.com/","NEW:47.00","United States of America","1: US","no","11186614",,,,"0.00",,"5200538568405946990",,"[{""product_id"":""7545680462074"",""product_name"":""Greyson Sorento"",""unit_price"":47.00,""quantity"":1,""sku_code"":""1026J32426_SORENTO_33"",""commission_group_code"":""DEFAULT"",""category"":""""}]","","DEFAULT:47.00","new","0.80","0.00"
"2095032211","1944389","298.00","17.88","2026-04-17 01:02:00","2","2026-04-30 13:32:00","6888252080378","Sale","Asenco Inc.","https://www.shareasale.com","Not Last Click","https://monfrerefashion.com/","2026-03-25 01:00:00","","33122","No",,,,,"0.0.0.0","","iPhone","iPhone","https://xyzcodes.com/","RETURNING:298.00","United States of America","1: shopifyApp_5.4.1,2: #15900,3: px,4: web","no",,,,,"0.00",,"8491498186345087178",,"[{""product_id"":""8938625007866"",""product_name"":""Maverick Butter Suede Noir"",""unit_price"":298.00,""quantity"":1,""sku_code"":""912T75001_SUEDE NOIR_XXL"",""commission_group_code"":""DEFAULT"",""category"":""""}]","","DEFAULT:298.00","returning","5.07","0.00"
"2101262980","214459","546.00","32.76","2026-04-25 15:46:00","0","","6905868615930","Sale","Honey Science Corporation","http://www.joinhoney.com/partners",,"https://monfrerefashion.com/","2026-04-22 16:51:00","","4255","No",,,,,"0.0.0.0","1cbc33c886dda932ee5027f5d84e7508ad93701401e89ced","Apple Mac","Apple Mac","","RETURNING:546.00","United States of America","1: shopifyApp_5.4.1,3: px,2: #15972,4: web","no",,,,,"0.00",,"-1928051685831457492",,"[{""product_id"":""9010346688762"",""product_name"":""Cooper Butter Suede Noir"",""unit_price"":248.00,""quantity"":1,""sku_code"":""810S105001_SUEDE NOIR_L"",""commission_group_code"":""DEFAULT"",""category"":""""},{""product_id"":""9010346918138"",""product_name"":""Dean Butter Suede Noir"",""unit_price"":298.00,""quantity"":1,""sku_code"":""909S105001_SUEDE NOIR_L"",""commission_group_code"":""DEFAULT"",""category"":""""}]","","DEFAULT:546.00","returning","9.28","0.00"
"2022780266","81392","136.40","8.18","2026-01-02 18:02:00","1","2026-01-29 14:42:00","#15035","Sale","RetailMeNot.com","http://www.retailmenot.com",,"","2025-12-03 22:19:00","","42943","No",,,,,"0.0.0.0","01yYrvBubgtYkIXeyJ9pTaa","Apple Mac","PC Unknown","https://www.retailmenot.com/view/monfrerefashion.com","RETURNING:136.40","Ireland","1: shopifyApp_5.2.5,2: #15035,3: s2s,4: 24986320897","no","11015018",,,,"0.00",,"5005622096606567817",,"[{""product_id"":""8938623336698"",""product_name"":""Brando Needle Cord Plum"",""unit_price"":136.40,""quantity"":1,""sku_code"":""1008N95504_PLUM_32"",""commission_group_code"":""DEFAULT"",""category"":""""}]","","DEFAULT:136.40","returning","2.32","0.00"
"2047859662","162254","218.24","26.19","2026-02-06 22:16:00","1","2026-03-02 17:00:00","#15350","Sale","DontPayFull.com","http://www.dontpayfull.com",,"","2026-02-06 22:16:00","DPF20","n/a","No",,,,,"0.0.0.0","","PC Unknown","PC Unknown","","NEW:218.24","United States of America","1: US","no","11186614",,,,"0.00",,"-5234447738654299512",,"[{""product_id"":""8938623795450"",""product_name"":""Caine Valois"",""unit_price"":109.12,""quantity"":1,""sku_code"":""1044J85033_VALOIS_34"",""commission_group_code"":""DEFAULT"",""category"":""""},{""product_id"":""8938623860986"",""product_name"":""Caine Clichy"",""unit_price"":109.12,""quantity"":1,""sku_code"":""1044J85408_CLICHY_34"",""commission_group_code"":""DEFAULT"",""category"":""""}]","","DEFAULT:218.24","new","3.71","0.00"
"2043939725","80338","787.50","39.38","2026-02-01 11:11:00","2","2026-02-09 19:58:00","6751632163066","Sale","intent.ly Overlays","https://intent.ly/","Order not complete - manual commission added","https://checkout.monfrerefashion.com/","2026-01-30 23:33:00","","2138","No",,,,,"0.0.0.0","OID148095_DID160340_","iPhone","iPhone","https://www.monfrerefashion.com/collections/sale-2","NEW:787.50","United States of America","1: shopifyApp_5.2.5,2: #15295,3: px,4: 24986320897","no",,,,,"0.00",,"197552943174332755",,"[{""product_id"":""6930532401349"",""product_name"":""Preston Coated Noir"",""unit_price"":163.90,""quantity"":1,""sku_code"":""3015C91001_COATED NOIR_32"",""commission_group_code"":""DEFAULT"",""category"":""""},{""product_id"":""8938623303930"",""product_name"":""Brando Needle Cord Juniper"",""unit_price"":136.40,""quantity"":1,""sku_code"":""1008N85306_JUNIPER_32"",""commission_group_code"":""DEFAULT"",""category"":""""},{""product_id"":""9010346393850"",""product_name"":""Jalen Vintage Leopard"",""unit_price"":243.60,""quantity"":1,""sku_code"":""348K105504_VIN LEOPARD_S"",""commission_group_code"":""DEFAULT"",""category"":""""}]","","DEFAULT:787.50","new","13.39","0.00"
