"publisher_name","PublisherID","parent_publisher_type","publisher_type","publisher_tags","return_on_investment (ROI)","cost_per_acquisition (CPA)","cost_per_click (CPC)","impressions","all_clicks","total_conversion_rate","total_aov","pending_aov","approved_aov","bonus_aov","declined_aov","total_transactions","pending_transactions","approved_transactions","bonus_transactions","declined_transactions","total_revenue","pending_revenue","approved_revenue","bonus_revenue","declined_revenue","total_commission","pending_commission","approved_commission","bonus_commission","declined_commission","total_influence","converted_solo","converted_awin","assisted_awin","assisted_awin_1st","assisted_other_channels"
"Rewardoo","1004849","Content","Bloggers & Social Content","","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Smart Influence GmbH","1018583","Display","Direct Traffic","","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"STELLIO LTD","1037343","Content","Discount Code","","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Joko","1052075","Content","Cashback","","0","0","0","0","67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Moolah","1110851","Content","Discount Code","","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LinkPrefer","1137879","Content","Bloggers & Social Content","","0","0","0","0","84","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Diginlink Sub Network","1197794","Display","Subnetworks","","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Lkmstore Sub Network","1201796","Display","Subnetworks","","0","0","0","0","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDLOOK LTD","1300061","Content","Shopping Directory","","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Circlegoods.net","1460174","Content","Bloggers & Social Content","","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brandreward - Display","1517491","Display","Subnetworks","","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"SHOPTASTIC PTE. LTD.","1528223","Content","Cashback","","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"IN Technologie Inc","1534241","Display","Subnetworks","","0","0","0","0","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Linkbux Content","1613500","Content","Bloggers & Social Content","","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"SHOPSZZ Retail","1711767","Content","Bloggers & Social Content","","0","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Converg Experts","1727095","Content","Editorial Content","","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Adam Montgomery","1729023","Content","Media Content","","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"grabcouponss","1743683","Content","Bloggers & Social Content","","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
