Date,Group Id,List/Segment,Click Rate,Open Rate,Total Placed Order Value,Campaign Message Channel
2024,XF5rER,Full List Non Suppressed,0.00777,0.34046,30137.32992,Email
2024,XF5rER,Full List Non Suppressed,0.01857,N/A,539.54,SMS
2024,XQGLBR,RECENTLY ADDED - NO ORDERS,0.00842,0.28782,1081.61002,Email
2024,XXDbXV,MLK24 - SIZE 33 Customers,0.06761,0.54635,1943.88998,Email
2024,XfyTr7,Engaged no purchase - 30 day,0.02185,0.6759,1009.0,Email
2024,XgVT7G,MLK24 - LARGE Customers,0.07216,0.62887,612.16,Email
2024,XnwEJe,Leads - Non Purchasers,0.00255,0.29325,209.7,Email
2024,XrFvH9,CAMPAIGN RESEND,0.01163,0.27519,0.0,Email
2024,XsGCRa,FINAL SALE VIEWERS PREDICTIVE,0.16508,0.63648,12238.81998,Email
2024,XsGCRa,FINAL SALE VIEWERS PREDICTIVE,0.22747,N/A,691.37,SMS
2024,Xt6g2m,PS - ALL SHORTS VIEWERS,0.01042,0.55208,0.0,Email
2024,XtiUji,Customers Likely to Buy again #1,0.19759,0.71807,449.73999,Email
2024,XyuUeX,MLK24 - SIZE 34 Customers,0.03204,0.50114,1162.28001,Email
2024,Xzr7E2,FROM META SHOP,0.00778,0.38712,0.0,Email
2024,YbHFWG,MLK24 - TOPS CUSTOMERS,0.05556,0.77778,0.0,Email
2024,Yiadmv,MLK24 - SIZE 32 Customers,0.05118,0.5261,1469.79999,Email
2024,Yim6cg,Full List Email,0.00835,0.33627,2870.99001,Email
2024,YjztZQ,BF Sale Customers Not Purchases Black Friday,0.02597,0.49634,1279.74,Email
2024,YnJ5Rv,PS - ALL TOPS VIEWERS,0.03784,0.44865,0.0,Email
2024,YqRA3Z,PS - SKINNY PURCHASERS,0.10832,0.50656,1670.96,Email
2024,YqjPpv,Placed order - 15 Days,0.04736,0.56297,1102.93997,Email
2024,YrG67N,PS - TOPS PURCHASERS,0.05263,0.73684,0.0,Email
2024,YvBNNX,Bazo Exclude,0.04095,0.52825,529.2,Email
